state-name,month,season,season and year,quadrant ,quadrant + year,milk production per cow,avg heat index
New Mexico,1/2006,Winter,Winter 2006,Q1,Q1 2006,"1,850",
New Mexico,2/2006,Winter,Winter 2006,Q1,Q1 2006,"1,720",
New Mexico,3/2006,Spring,Spring 2006,Q1,Q1 2006,"1,910",
New Mexico,4/2006,Spring,Spring 2006,Q2,Q2 2006,"1,870",
New Mexico,5/2006,Spring,Spring 2006,Q2,Q2 2006,"1,975",
New Mexico,6/2006,Summer,Summer 2006,Q2,Q2 2006,"1,895",
New Mexico,7/2006,Summer,Summer 2006,Q3,Q3 2006,"1,900",
New Mexico,8/2006,Summer,Summer 2006,Q3,Q3 2006,"1,810",
New Mexico,9/2006,Autumn,Autumn 2006,Q3,Q3 2006,"1,700",
New Mexico,10/2006,Autumn,Autumn 2006,Q4,Q4 2006,"1,750",
New Mexico,11/2006,Autumn,Autumn 2006,Q4,Q4 2006,"1,710",
New Mexico,12/2006,Winter,Winter 2006,Q4,Q4 2006,"1,780",
New Mexico,1/2007,Winter,Winter 2007,Q1,Q1 2007,"1,790",
New Mexico,2/2007,Winter,Winter 2007,Q1,Q1 2007,"1,640",
New Mexico,3/2007,Spring,Spring 2007,Q1,Q1 2007,"1,890",
New Mexico,4/2007,Spring,Spring 2007,Q2,Q2 2007,"1,815",
New Mexico,5/2007,Spring,Spring 2007,Q2,Q2 2007,"1,910",
New Mexico,6/2007,Summer,Summer 2007,Q2,Q2 2007,"1,820",
New Mexico,7/2007,Summer,Summer 2007,Q3,Q3 2007,"1,850",
New Mexico,8/2007,Summer,Summer 2007,Q3,Q3 2007,"1,860",
New Mexico,9/2007,Autumn,Autumn 2007,Q3,Q3 2007,"1,810",
New Mexico,10/2007,Autumn,Autumn 2007,Q4,Q4 2007,"1,870",
New Mexico,11/2007,Autumn,Autumn 2007,Q4,Q4 2007,"1,805",
New Mexico,12/2007,Winter,Winter 2007,Q4,Q4 2007,"1,880",
New Mexico,1/2008,Winter,Winter 2008,Q1,Q1 2008,"1,900",
New Mexico,2/2008,Winter,Winter 2008,Q1,Q1 2008,"1,785",
New Mexico,3/2008,Spring,Spring 2008,Q1,Q1 2008,"1,990",
New Mexico,4/2008,Spring,Spring 2008,Q2,Q2 2008,"1,990",
New Mexico,5/2008,Spring,Spring 2008,Q2,Q2 2008,"2,040",
New Mexico,6/2008,Summer,Summer 2008,Q2,Q2 2008,"1,970",
New Mexico,7/2008,Summer,Summer 2008,Q3,Q3 2008,"1,990",
New Mexico,8/2008,Summer,Summer 2008,Q3,Q3 2008,"1,920",
New Mexico,9/2008,Autumn,Autumn 2008,Q3,Q3 2008,"1,880",
New Mexico,10/2008,Autumn,Autumn 2008,Q4,Q4 2008,"1,920",
New Mexico,11/2008,Autumn,Autumn 2008,Q4,Q4 2008,"1,900",
New Mexico,12/2008,Winter,Winter 2008,Q4,Q4 2008,"1,975",
New Mexico,1/2009,Winter,Winter 2009,Q1,Q1 2009,"2,015",
New Mexico,2/2009,Winter,Winter 2009,Q1,Q1 2009,"1,880",
New Mexico,3/2009,Spring,Spring 2009,Q1,Q1 2009,"2,110",
New Mexico,4/2009,Spring,Spring 2009,Q2,Q2 2009,"2,070",
New Mexico,5/2009,Spring,Spring 2009,Q2,Q2 2009,"2,145",
New Mexico,6/2009,Summer,Summer 2009,Q2,Q2 2009,"2,050",
New Mexico,7/2009,Summer,Summer 2009,Q3,Q3 2009,"2,050",
New Mexico,8/2009,Summer,Summer 2009,Q3,Q3 2009,"2,000",
New Mexico,9/2009,Autumn,Autumn 2009,Q3,Q3 2009,"1,980",
New Mexico,10/2009,Autumn,Autumn 2009,Q4,Q4 2009,"2,020",
New Mexico,11/2009,Autumn,Autumn 2009,Q4,Q4 2009,"1,970",
New Mexico,12/2009,Winter,Winter 2009,Q4,Q4 2009,"2,015",
New Mexico,1/2010,Winter,Winter 2010,Q1,Q1 2010,"2,015",
New Mexico,2/2010,Winter,Winter 2010,Q1,Q1 2010,"1,870",
New Mexico,3/2010,Spring,Spring 2010,Q1,Q1 2010,"2,105",
New Mexico,4/2010,Spring,Spring 2010,Q2,Q2 2010,"2,090",
New Mexico,5/2010,Spring,Spring 2010,Q2,Q2 2010,"2,160",
New Mexico,6/2010,Summer,Summer 2010,Q2,Q2 2010,"2,080",
New Mexico,7/2010,Summer,Summer 2010,Q3,Q3 2010,"2,095",
New Mexico,8/2010,Summer,Summer 2010,Q3,Q3 2010,"2,040",
New Mexico,9/2010,Autumn,Autumn 2010,Q3,Q3 2010,"2,015",
New Mexico,10/2010,Autumn,Autumn 2010,Q4,Q4 2010,"2,055",
New Mexico,11/2010,Autumn,Autumn 2010,Q4,Q4 2010,"1,985",
New Mexico,12/2010,Winter,Winter 2010,Q4,Q4 2010,"2,065",
New Mexico,1/2011,Winter,Winter 2011,Q1,Q1 2011,"2,105",
New Mexico,2/2011,Winter,Winter 2011,Q1,Q1 2011,"1,890",
New Mexico,3/2011,Spring,Spring 2011,Q1,Q1 2011,"2,150",
New Mexico,4/2011,Spring,Spring 2011,Q2,Q2 2011,"2,125",
New Mexico,5/2011,Spring,Spring 2011,Q2,Q2 2011,"2,180",
New Mexico,6/2011,Summer,Summer 2011,Q2,Q2 2011,"2,100",
New Mexico,7/2011,Summer,Summer 2011,Q3,Q3 2011,"2,105",
New Mexico,8/2011,Summer,Summer 2011,Q3,Q3 2011,"2,065",
New Mexico,9/2011,Autumn,Autumn 2011,Q3,Q3 2011,"2,020",
New Mexico,10/2011,Autumn,Autumn 2011,Q4,Q4 2011,"2,100",
New Mexico,11/2011,Autumn,Autumn 2011,Q4,Q4 2011,"2,020",
New Mexico,12/2011,Winter,Winter 2011,Q4,Q4 2011,"2,025",
New Mexico,1/2012,Winter,Winter 2012,Q1,Q1 2012,"2,045",
New Mexico,2/2012,Winter,Winter 2012,Q1,Q1 2012,"1,985",
New Mexico,3/2012,Spring,Spring 2012,Q1,Q1 2012,"2,190",
New Mexico,4/2012,Spring,Spring 2012,Q2,Q2 2012,"2,130",
New Mexico,5/2012,Spring,Spring 2012,Q2,Q2 2012,"2,150",
New Mexico,6/2012,Summer,Summer 2012,Q2,Q2 2012,"2,020",
New Mexico,7/2012,Summer,Summer 2012,Q3,Q3 2012,"2,060",
New Mexico,8/2012,Summer,Summer 2012,Q3,Q3 2012,"2,015",
New Mexico,9/2012,Autumn,Autumn 2012,Q3,Q3 2012,"1,960",
New Mexico,10/2012,Autumn,Autumn 2012,Q4,Q4 2012,"2,025",
New Mexico,11/2012,Autumn,Autumn 2012,Q4,Q4 2012,"2,000",
New Mexico,12/2012,Winter,Winter 2012,Q4,Q4 2012,"2,100",
New Mexico,1/2013,Winter,Winter 2013,Q1,Q1 2013,"2,150",
New Mexico,2/2013,Winter,Winter 2013,Q1,Q1 2013,"1,985",
New Mexico,7/2013,Summer,Summer 2013,Q3,Q3 2013,"2,125",
New Mexico,8/2013,Summer,Summer 2013,Q3,Q3 2013,"2,015",
New Mexico,9/2013,Autumn,Autumn 2013,Q3,Q3 2013,"1,940",
New Mexico,10/2013,Autumn,Autumn 2013,Q4,Q4 2013,"2,025",
New Mexico,11/2013,Autumn,Autumn 2013,Q4,Q4 2013,"1,990",
New Mexico,12/2013,Winter,Winter 2013,Q4,Q4 2013,"2,050",
New Mexico,1/2014,Winter,Winter 2014,Q1,Q1 2014,"2,110",
New Mexico,2/2014,Winter,Winter 2014,Q1,Q1 2014,"1,950",
New Mexico,3/2014,Spring,Spring 2014,Q1,Q1 2014,"2,210",
New Mexico,4/2014,Spring,Spring 2014,Q2,Q2 2014,"2,135",
New Mexico,5/2014,Spring,Spring 2014,Q2,Q2 2014,"2,240",
New Mexico,6/2014,Summer,Summer 2014,Q2,Q2 2014,"2,130",
New Mexico,7/2014,Summer,Summer 2014,Q3,Q3 2014,"2,130",
New Mexico,8/2014,Summer,Summer 2014,Q3,Q3 2014,"2,100",
New Mexico,9/2014,Autumn,Autumn 2014,Q3,Q3 2014,"2,000",
New Mexico,10/2014,Autumn,Autumn 2014,Q4,Q4 2014,"2,050",
New Mexico,11/2014,Autumn,Autumn 2014,Q4,Q4 2014,"1,975",
New Mexico,12/2014,Winter,Winter 2014,Q4,Q4 2014,"2,060",
New Mexico,1/2015,Winter,Winter 2015,Q1,Q1 2015,"2,070",
New Mexico,2/2015,Winter,Winter 2015,Q1,Q1 2015,"1,880",
New Mexico,3/2015,Spring,Spring 2015,Q1,Q1 2015,"2,125",
New Mexico,4/2015,Spring,Spring 2015,Q2,Q2 2015,"2,105",
New Mexico,5/2015,Spring,Spring 2015,Q2,Q2 2015,"2,190",
New Mexico,6/2015,Summer,Summer 2015,Q2,Q2 2015,"2,035",
New Mexico,7/2015,Summer,Summer 2015,Q3,Q3 2015,"2,040",
New Mexico,8/2015,Summer,Summer 2015,Q3,Q3 2015,"2,010",
New Mexico,9/2015,Autumn,Autumn 2015,Q3,Q3 2015,"1,960",
New Mexico,10/2015,Autumn,Autumn 2015,Q4,Q4 2015,"1,990",
New Mexico,11/2015,Autumn,Autumn 2015,Q4,Q4 2015,"1,915",
New Mexico,12/2015,Winter,Winter 2015,Q4,Q4 2015,"1,955",
New Mexico,1/2016,Winter,Winter 2016,Q1,Q1 2016,"1,900",
New Mexico,2/2016,Winter,Winter 2016,Q1,Q1 2016,"1,900",
New Mexico,3/2016,Spring,Spring 2016,Q1,Q1 2016,"2,140",
New Mexico,4/2016,Spring,Spring 2016,Q2,Q2 2016,"2,110",
New Mexico,5/2016,Spring,Spring 2016,Q2,Q2 2016,"2,195",
New Mexico,6/2016,Summer,Summer 2016,Q2,Q2 2016,"2,045",
New Mexico,7/2016,Summer,Summer 2016,Q3,Q3 2016,"2,080",
New Mexico,8/2016,Summer,Summer 2016,Q3,Q3 2016,"2,085",
New Mexico,9/2016,Autumn,Autumn 2016,Q3,Q3 2016,"1,965",
New Mexico,10/2016,Autumn,Autumn 2016,Q4,Q4 2016,"2,025",
New Mexico,11/2016,Autumn,Autumn 2016,Q4,Q4 2016,"1,980",
New Mexico,12/2016,Winter,Winter 2016,Q4,Q4 2016,"2,055",
New Mexico,1/2017,Winter,Winter 2017,Q1,Q1 2017,"2,090",
New Mexico,2/2017,Winter,Winter 2017,Q1,Q1 2017,"1,960",
New Mexico,3/2017,Spring,Spring 2017,Q1,Q1 2017,"2,220",
New Mexico,4/2017,Spring,Spring 2017,Q2,Q2 2017,"2,150",
New Mexico,5/2017,Spring,Spring 2017,Q2,Q2 2017,"2,210",
New Mexico,6/2017,Summer,Summer 2017,Q2,Q2 2017,"2,095",
New Mexico,7/2017,Summer,Summer 2017,Q3,Q3 2017,"2,125",
New Mexico,8/2017,Summer,Summer 2017,Q3,Q3 2017,"2,065",
New Mexico,9/2017,Autumn,Autumn 2017,Q3,Q3 2017,"1,965",
New Mexico,10/2017,Autumn,Autumn 2017,Q4,Q4 2017,"2,000",
New Mexico,11/2017,Autumn,Autumn 2017,Q4,Q4 2017,"1,985",
New Mexico,12/2017,Winter,Winter 2017,Q4,Q4 2017,"2,075",
New Mexico,1/2018,Winter,Winter 2018,Q1,Q1 2018,"2,140",
New Mexico,2/2018,Winter,Winter 2018,Q1,Q1 2018,"1,975",
New Mexico,3/2018,Spring,Spring 2018,Q1,Q1 2018,"2,220",
New Mexico,4/2018,Spring,Spring 2018,Q2,Q2 2018,"2,165",
New Mexico,5/2018,Spring,Spring 2018,Q2,Q2 2018,"2,190",
New Mexico,6/2018,Summer,Summer 2018,Q2,Q2 2018,"2,130",
New Mexico,7/2018,Summer,Summer 2018,Q3,Q3 2018,"2,140",
New Mexico,8/2018,Summer,Summer 2018,Q3,Q3 2018,"2,100",
New Mexico,9/2018,Autumn,Autumn 2018,Q3,Q3 2018,"2,005",
New Mexico,10/2018,Autumn,Autumn 2018,Q4,Q4 2018,"2,015",
New Mexico,11/2018,Autumn,Autumn 2018,Q4,Q4 2018,"1,950",
New Mexico,12/2018,Winter,Winter 2018,Q4,Q4 2018,"2,060",
New Mexico,1/2019,Winter,Winter 2019,Q1,Q1 2019,"2,130",
New Mexico,2/2019,Winter,Winter 2019,Q1,Q1 2019,"1,970",
New Mexico,3/2019,Spring,Spring 2019,Q1,Q1 2019,"2,210",
New Mexico,4/2019,Spring,Spring 2019,Q2,Q2 2019,"2,165",
New Mexico,5/2019,Spring,Spring 2019,Q2,Q2 2019,"2,215",
New Mexico,6/2019,Summer,Summer 2019,Q2,Q2 2019,"2,130",
