state-name,month,season,season and year,quadrant ,quadrant + year,milk production per cow,avg heat index
ARIZONA,1/2006,Winter,Winter 2006,Q1,Q1 2006,"2,045",
ARIZONA,2/2006,Winter,Winter 2006,Q1,Q1 2006,"1,940",
ARIZONA,3/2006,Spring,Spring 2006,Q1,Q1 2006,"2,190",
ARIZONA,4/2006,Spring,Spring 2006,Q2,Q2 2006,"2,145",
ARIZONA,5/2006,Spring,Spring 2006,Q2,Q2 2006,"2,155",
ARIZONA,6/2006,Summer,Summer 2006,Q2,Q2 2006,"1,955",
ARIZONA,7/2006,Summer,Summer 2006,Q3,Q3 2006,"1,775",
ARIZONA,8/2006,Summer,Summer 2006,Q3,Q3 2006,"1,645",
ARIZONA,9/2006,Autumn,Autumn 2006,Q3,Q3 2006,"1,620",
ARIZONA,10/2006,Autumn,Autumn 2006,Q4,Q4 2006,"1,720",
ARIZONA,11/2006,Autumn,Autumn 2006,Q4,Q4 2006,"1,750",
ARIZONA,12/2006,Winter,Winter 2006,Q4,Q4 2006,"1,915",
ARIZONA,1/2007,Winter,Winter 2007,Q1,Q1 2007,"2,030",
ARIZONA,2/2007,Winter,Winter 2007,Q1,Q1 2007,"1,930",
ARIZONA,3/2007,Spring,Spring 2007,Q1,Q1 2007,"2,195",
ARIZONA,4/2007,Spring,Spring 2007,Q2,Q2 2007,"2,090",
ARIZONA,5/2007,Spring,Spring 2007,Q2,Q2 2007,"2,105",
ARIZONA,6/2007,Summer,Summer 2007,Q2,Q2 2007,"1,965",
ARIZONA,7/2007,Summer,Summer 2007,Q3,Q3 2007,"1,875",
ARIZONA,8/2007,Summer,Summer 2007,Q3,Q3 2007,"1,760",
ARIZONA,9/2007,Autumn,Autumn 2007,Q3,Q3 2007,"1,705",
ARIZONA,10/2007,Autumn,Autumn 2007,Q4,Q4 2007,"1,850",
ARIZONA,11/2007,Autumn,Autumn 2007,Q4,Q4 2007,"1,830",
ARIZONA,12/2007,Winter,Winter 2007,Q4,Q4 2007,"1,925",
ARIZONA,1/2008,Winter,Winter 2008,Q1,Q1 2008,"2,020",
ARIZONA,2/2008,Winter,Winter 2008,Q1,Q1 2008,"1,960",
ARIZONA,3/2008,Spring,Spring 2008,Q1,Q1 2008,"2,190",
ARIZONA,4/2008,Spring,Spring 2008,Q2,Q2 2008,"2,145",
ARIZONA,5/2008,Spring,Spring 2008,Q2,Q2 2008,"2,165",
ARIZONA,6/2008,Summer,Summer 2008,Q2,Q2 2008,"1,950",
ARIZONA,7/2008,Summer,Summer 2008,Q3,Q3 2008,"1,815",
ARIZONA,8/2008,Summer,Summer 2008,Q3,Q3 2008,"1,755",
ARIZONA,9/2008,Autumn,Autumn 2008,Q3,Q3 2008,"1,710",
ARIZONA,10/2008,Autumn,Autumn 2008,Q4,Q4 2008,"1,835",
ARIZONA,11/2008,Autumn,Autumn 2008,Q4,Q4 2008,"1,845",
ARIZONA,12/2008,Winter,Winter 2008,Q4,Q4 2008,"1,985",
ARIZONA,1/2009,Winter,Winter 2009,Q1,Q1 2009,"1,990",
ARIZONA,2/2009,Winter,Winter 2009,Q1,Q1 2009,"1,865",
ARIZONA,3/2009,Spring,Spring 2009,Q1,Q1 2009,"2,120",
ARIZONA,4/2009,Spring,Spring 2009,Q2,Q2 2009,"2,060",
ARIZONA,5/2009,Spring,Spring 2009,Q2,Q2 2009,"2,060",
ARIZONA,6/2009,Summer,Summer 2009,Q2,Q2 2009,"1,940",
ARIZONA,7/2009,Summer,Summer 2009,Q3,Q3 2009,"1,800",
ARIZONA,8/2009,Summer,Summer 2009,Q3,Q3 2009,"1,790",
ARIZONA,9/2009,Autumn,Autumn 2009,Q3,Q3 2009,"1,690",
ARIZONA,10/2009,Autumn,Autumn 2009,Q4,Q4 2009,"1,840",
ARIZONA,11/2009,Autumn,Autumn 2009,Q4,Q4 2009,"1,840",
ARIZONA,12/2009,Winter,Winter 2009,Q4,Q4 2009,"2,010",
ARIZONA,1/2010,Winter,Winter 2010,Q1,Q1 2010,"2,055",
ARIZONA,2/2010,Winter,Winter 2010,Q1,Q1 2010,"1,940",
ARIZONA,3/2010,Spring,Spring 2010,Q1,Q1 2010,"2,180",
ARIZONA,4/2010,Spring,Spring 2010,Q2,Q2 2010,"2,145",
ARIZONA,5/2010,Spring,Spring 2010,Q2,Q2 2010,"2,160",
ARIZONA,6/2010,Summer,Summer 2010,Q2,Q2 2010,"2,025",
ARIZONA,7/2010,Summer,Summer 2010,Q3,Q3 2010,"1,870",
ARIZONA,8/2010,Summer,Summer 2010,Q3,Q3 2010,"1,765",
ARIZONA,9/2010,Autumn,Autumn 2010,Q3,Q3 2010,"1,750",
ARIZONA,10/2010,Autumn,Autumn 2010,Q4,Q4 2010,"1,825",
ARIZONA,11/2010,Autumn,Autumn 2010,Q4,Q4 2010,"1,845",
ARIZONA,12/2010,Winter,Winter 2010,Q4,Q4 2010,"1,970",
ARIZONA,1/2011,Winter,Winter 2011,Q1,Q1 2011,"2,020",
ARIZONA,2/2011,Winter,Winter 2011,Q1,Q1 2011,"1,915",
ARIZONA,3/2011,Spring,Spring 2011,Q1,Q1 2011,"2,180",
ARIZONA,4/2011,Spring,Spring 2011,Q2,Q2 2011,"2,125",
ARIZONA,5/2011,Spring,Spring 2011,Q2,Q2 2011,"2,140",
ARIZONA,6/2011,Summer,Summer 2011,Q2,Q2 2011,"1,980",
ARIZONA,7/2011,Summer,Summer 2011,Q3,Q3 2011,"1,885",
ARIZONA,8/2011,Summer,Summer 2011,Q3,Q3 2011,"1,815",
ARIZONA,9/2011,Autumn,Autumn 2011,Q3,Q3 2011,"1,765",
ARIZONA,10/2011,Autumn,Autumn 2011,Q4,Q4 2011,"1,865",
ARIZONA,11/2011,Autumn,Autumn 2011,Q4,Q4 2011,"1,855",
ARIZONA,12/2011,Winter,Winter 2011,Q4,Q4 2011,"1,970",
ARIZONA,1/2012,Winter,Winter 2012,Q1,Q1 2012,"2,100",
ARIZONA,2/2012,Winter,Winter 2012,Q1,Q1 2012,"2,060",
ARIZONA,3/2012,Spring,Spring 2012,Q1,Q1 2012,"2,240",
ARIZONA,4/2012,Spring,Spring 2012,Q2,Q2 2012,"2,155",
ARIZONA,5/2012,Spring,Spring 2012,Q2,Q2 2012,"2,155",
ARIZONA,6/2012,Summer,Summer 2012,Q2,Q2 2012,"2,010",
ARIZONA,7/2012,Summer,Summer 2012,Q3,Q3 2012,"1,915",
ARIZONA,8/2012,Summer,Summer 2012,Q3,Q3 2012,"1,770",
ARIZONA,9/2012,Autumn,Autumn 2012,Q3,Q3 2012,"1,745",
ARIZONA,10/2012,Autumn,Autumn 2012,Q4,Q4 2012,"1,875",
ARIZONA,11/2012,Autumn,Autumn 2012,Q4,Q4 2012,"1,890",
ARIZONA,12/2012,Winter,Winter 2012,Q4,Q4 2012,"1,995",
ARIZONA,1/2013,Winter,Winter 2013,Q1,Q1 2013,"2,075",
ARIZONA,2/2013,Winter,Winter 2013,Q1,Q1 2013,"1,940",
ARIZONA,7/2013,Summer,Summer 2013,Q3,Q3 2013,"1,845",
ARIZONA,8/2013,Summer,Summer 2013,Q3,Q3 2013,"1,830",
ARIZONA,9/2013,Autumn,Autumn 2013,Q3,Q3 2013,"1,720",
ARIZONA,10/2013,Autumn,Autumn 2013,Q4,Q4 2013,"1,880",
ARIZONA,11/2013,Autumn,Autumn 2013,Q4,Q4 2013,"1,860",
ARIZONA,12/2013,Winter,Winter 2013,Q4,Q4 2013,"1,975",
ARIZONA,1/2014,Winter,Winter 2014,Q1,Q1 2014,"2,055",
ARIZONA,2/2014,Winter,Winter 2014,Q1,Q1 2014,"1,945",
ARIZONA,3/2014,Spring,Spring 2014,Q1,Q1 2014,"2,205",
ARIZONA,4/2014,Spring,Spring 2014,Q2,Q2 2014,"2,185",
ARIZONA,5/2014,Spring,Spring 2014,Q2,Q2 2014,"2,200",
ARIZONA,6/2014,Summer,Summer 2014,Q2,Q2 2014,"2,045",
ARIZONA,7/2014,Summer,Summer 2014,Q3,Q3 2014,"1,920",
ARIZONA,8/2014,Summer,Summer 2014,Q3,Q3 2014,"1,880",
ARIZONA,9/2014,Autumn,Autumn 2014,Q3,Q3 2014,"1,750",
ARIZONA,10/2014,Autumn,Autumn 2014,Q4,Q4 2014,"1,925",
ARIZONA,11/2014,Autumn,Autumn 2014,Q4,Q4 2014,"1,900",
ARIZONA,12/2014,Winter,Winter 2014,Q4,Q4 2014,"2,000",
ARIZONA,1/2015,Winter,Winter 2015,Q1,Q1 2015,"2,080",
ARIZONA,2/2015,Winter,Winter 2015,Q1,Q1 2015,"1,940",
ARIZONA,3/2015,Spring,Spring 2015,Q1,Q1 2015,"2,210",
ARIZONA,4/2015,Spring,Spring 2015,Q2,Q2 2015,"2,155",
ARIZONA,5/2015,Spring,Spring 2015,Q2,Q2 2015,"2,165",
ARIZONA,6/2015,Summer,Summer 2015,Q2,Q2 2015,"2,015",
ARIZONA,7/2015,Summer,Summer 2015,Q3,Q3 2015,"1,955",
ARIZONA,8/2015,Summer,Summer 2015,Q3,Q3 2015,"1,830",
ARIZONA,9/2015,Autumn,Autumn 2015,Q3,Q3 2015,"1,735",
ARIZONA,10/2015,Autumn,Autumn 2015,Q4,Q4 2015,"1,870",
ARIZONA,11/2015,Autumn,Autumn 2015,Q4,Q4 2015,"1,880",
ARIZONA,12/2015,Winter,Winter 2015,Q4,Q4 2015,"2,010",
ARIZONA,1/2016,Winter,Winter 2016,Q1,Q1 2016,"2,055",
ARIZONA,2/2016,Winter,Winter 2016,Q1,Q1 2016,"2,055",
ARIZONA,3/2016,Spring,Spring 2016,Q1,Q1 2016,"2,215",
ARIZONA,4/2016,Spring,Spring 2016,Q2,Q2 2016,"2,120",
ARIZONA,5/2016,Spring,Spring 2016,Q2,Q2 2016,"2,165",
ARIZONA,6/2016,Summer,Summer 2016,Q2,Q2 2016,"2,000",
ARIZONA,7/2016,Summer,Summer 2016,Q3,Q3 2016,"1,910",
ARIZONA,8/2016,Summer,Summer 2016,Q3,Q3 2016,"1,840",
ARIZONA,9/2016,Autumn,Autumn 2016,Q3,Q3 2016,"1,770",
ARIZONA,10/2016,Autumn,Autumn 2016,Q4,Q4 2016,"1,870",
ARIZONA,11/2016,Autumn,Autumn 2016,Q4,Q4 2016,"1,930",
ARIZONA,12/2016,Winter,Winter 2016,Q4,Q4 2016,"2,085",
ARIZONA,1/2017,Winter,Winter 2017,Q1,Q1 2017,"2,075",
ARIZONA,2/2017,Winter,Winter 2017,Q1,Q1 2017,"2,000",
ARIZONA,3/2017,Spring,Spring 2017,Q1,Q1 2017,"2,245",
ARIZONA,4/2017,Spring,Spring 2017,Q2,Q2 2017,"2,175",
ARIZONA,5/2017,Spring,Spring 2017,Q2,Q2 2017,"2,185",
ARIZONA,6/2017,Summer,Summer 2017,Q2,Q2 2017,"2,030",
ARIZONA,7/2017,Summer,Summer 2017,Q3,Q3 2017,"1,930",
ARIZONA,8/2017,Summer,Summer 2017,Q3,Q3 2017,"1,845",
ARIZONA,9/2017,Autumn,Autumn 2017,Q3,Q3 2017,"1,785",
ARIZONA,10/2017,Autumn,Autumn 2017,Q4,Q4 2017,"1,940",
ARIZONA,11/2017,Autumn,Autumn 2017,Q4,Q4 2017,"1,935",
ARIZONA,12/2017,Winter,Winter 2017,Q4,Q4 2017,"2,040",
ARIZONA,1/2018,Winter,Winter 2018,Q1,Q1 2018,"2,095",
ARIZONA,2/2018,Winter,Winter 2018,Q1,Q1 2018,"1,960",
ARIZONA,3/2018,Spring,Spring 2018,Q1,Q1 2018,"2,205",
ARIZONA,4/2018,Spring,Spring 2018,Q2,Q2 2018,"2,135",
ARIZONA,5/2018,Spring,Spring 2018,Q2,Q2 2018,"2,145",
ARIZONA,6/2018,Summer,Summer 2018,Q2,Q2 2018,"2,005",
ARIZONA,7/2018,Summer,Summer 2018,Q3,Q3 2018,"1,895",
ARIZONA,8/2018,Summer,Summer 2018,Q3,Q3 2018,"1,835",
ARIZONA,9/2018,Autumn,Autumn 2018,Q3,Q3 2018,"1,795",
ARIZONA,10/2018,Autumn,Autumn 2018,Q4,Q4 2018,"1,910",
ARIZONA,11/2018,Autumn,Autumn 2018,Q4,Q4 2018,"1,895",
ARIZONA,12/2018,Winter,Winter 2018,Q4,Q4 2018,"2,065",
ARIZONA,1/2019,Winter,Winter 2019,Q1,Q1 2019,"2,095",
ARIZONA,2/2019,Winter,Winter 2019,Q1,Q1 2019,"1,960",
ARIZONA,3/2019,Spring,Spring 2019,Q1,Q1 2019,"2,195",
ARIZONA,4/2019,Spring,Spring 2019,Q2,Q2 2019,"2,135",
ARIZONA,5/2019,Spring,Spring 2019,Q2,Q2 2019,"2,125",
ARIZONA,6/2019,Summer,Summer 2019,Q2,Q2 2019,"1,965",
ARIZONA,7/2019,Summer,Summer 2019,Q3,Q3 2019,"1,930",
ARIZONA,8/2019,Summer,Summer 2019,Q3,Q3 2019,"1,850",
ARIZONA,9/2019,Autumn,Autumn 2019,Q3,Q3 2019,"1,810",
