state-name,month,season,season and year,quadrant ,quadrant + year,milk production per cow,avg heat index
Texas,1/2006,Winter,Winter 2006,Q1,Q1 2006,"1,705",
Texas,2/2006,Winter,Winter 2006,Q1,Q1 2006,"1,600",
Texas,3/2006,Spring,Spring 2006,Q1,Q1 2006,"1,825",
Texas,4/2006,Spring,Spring 2006,Q2,Q2 2006,"1,750",
Texas,5/2006,Spring,Spring 2006,Q2,Q2 2006,"1,790",
Texas,6/2006,Summer,Summer 2006,Q2,Q2 2006,"1,650",
Texas,7/2006,Summer,Summer 2006,Q3,Q3 2006,"1,605",
Texas,8/2006,Summer,Summer 2006,Q3,Q3 2006,"1,510",
Texas,9/2006,Autumn,Autumn 2006,Q3,Q3 2006,"1,440",
Texas,10/2006,Autumn,Autumn 2006,Q4,Q4 2006,"1,495",
Texas,11/2006,Autumn,Autumn 2006,Q4,Q4 2006,"1,520",
Texas,12/2006,Winter,Winter 2006,Q4,Q4 2006,"1,615",
Texas,1/2007,Winter,Winter 2007,Q1,Q1 2007,"1,625",
Texas,2/2007,Winter,Winter 2007,Q1,Q1 2007,"1,495",
Texas,3/2007,Spring,Spring 2007,Q1,Q1 2007,"1,745",
Texas,4/2007,Spring,Spring 2007,Q2,Q2 2007,"1,680",
Texas,5/2007,Spring,Spring 2007,Q2,Q2 2007,"1,675",
Texas,6/2007,Summer,Summer 2007,Q2,Q2 2007,"1,560",
Texas,7/2007,Summer,Summer 2007,Q3,Q3 2007,"1,535",
Texas,8/2007,Summer,Summer 2007,Q3,Q3 2007,"1,480",
Texas,9/2007,Autumn,Autumn 2007,Q3,Q3 2007,"1,455",
Texas,10/2007,Autumn,Autumn 2007,Q4,Q4 2007,"1,545",
Texas,11/2007,Autumn,Autumn 2007,Q4,Q4 2007,"1,560",
Texas,12/2007,Winter,Winter 2007,Q4,Q4 2007,"1,625",
Texas,1/2008,Winter,Winter 2008,Q1,Q1 2008,"1,685",
Texas,2/2008,Winter,Winter 2008,Q1,Q1 2008,"1,635",
Texas,3/2008,Spring,Spring 2008,Q1,Q1 2008,"1,800",
